iter	Passed	Remaining
0	132	13080
1	134	6592
2	135	4382
3	136	3279
4	137	2618
5	138	2176
6	139	1859
7	140	1621
8	142	1437
9	143	1289
10	144	1169
11	145	1068
12	146	983
13	148	913
14	150	850
15	151	794
16	152	744
17	153	700
18	154	659
19	155	623
20	156	590
21	157	559
22	159	533
23	160	508
24	162	486
25	163	464
26	164	445
27	165	426
28	166	408
29	167	391
30	169	376
31	170	362
32	172	349
33	174	338
34	176	327
35	177	315
36	178	304
37	180	294
38	181	284
39	183	274
40	184	265
41	186	257
42	187	248
43	189	241
44	191	233
45	192	226
46	194	219
47	195	211
48	197	205
49	198	198
50	199	191
51	201	185
52	202	179
53	203	173
54	204	167
55	205	161
56	206	156
57	207	150
58	209	145
59	210	140
60	212	135
61	214	131
62	216	127
63	218	122
64	219	118
65	220	113
66	222	109
67	223	105
68	224	100
69	225	96
70	227	92
71	228	88
72	229	84
73	230	81
74	232	77
75	233	73
76	234	69
77	235	66
78	236	62
79	237	59
80	238	55
81	239	52
82	240	49
83	242	46
84	243	42
85	244	39
86	245	36
87	247	33
88	248	30
89	250	27
90	252	24
91	253	22
92	254	19
93	255	16
94	257	13
95	258	10
96	259	8
97	260	5
98	261	2
99	262	0
